
Matthew Rose,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCER
Laurent Malville,DEVELOPMENT TEAM UBISOFT TORONTO,CREATIVE DIRECTOR 
Richard Carrillo,DEVELOPMENT TEAM UBISOFT TORONTO,GAME DIRECTOR
Daniel Ebanks,DEVELOPMENT TEAM UBISOFT TORONTO,ART DIRECTOR
Liam Gilbride,DEVELOPMENT TEAM UBISOFT TORONTO,TECHNICAL DIRECTOR
Yuan Jun Ou,DEVELOPMENT TEAM UBISOFT TORONTO,AUDIO DIRECTOR
Christopher Francis,DEVELOPMENT TEAM UBISOFT TORONTO,PRESENTATION DIRECTOR
Eduardo Gomes Hulshof,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGN DIRECTORS
Peter Handrinos,DEVELOPMENT TEAM UBISOFT TORONTO,LEAD PROGRAMMER
Avi Mintz,DEVELOPMENT TEAM UBISOFT TORONTO,ASSOCIATE PRODUCERS
Dennis Collantes,DEVELOPMENT TEAM UBISOFT TORONTO,ASSOCIATE PRODUCERS
Louis Duquet,DEVELOPMENT TEAM UBISOFT TORONTO,ASSOCIATE PRODUCERS
Thomas Singleton,DEVELOPMENT TEAM UBISOFT TORONTO,ASSOCIATE PRODUCERS
Margherita Seconnino,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCTION MANAGERS
Sherry Zhou,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCTION MANAGERS
Stephen Ma,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCTION MANAGERS
Lucas Rizoli,DEVELOPMENT TEAM UBISOFT TORONTO,USER RESEARCH PROJECT MANAGER
Feargus Carroll,DEVELOPMENT TEAM UBISOFT TORONTO,PROJECT CLOSER
Jaclyn Smith,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCTION COORDINATORS
Laura Hoeltzenbein,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCTION COORDINATORS
Alexander Harrison,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCTION ASSISTANT
Joshua Mohan,DEVELOPMENT TEAM UBISOFT TORONTO,LEAD NARRATIVE DESIGNER
Justin Cummings,DEVELOPMENT TEAM UBISOFT TORONTO,NARRATIVE DESIGNER
Kyle Muir,DEVELOPMENT TEAM UBISOFT TORONTO,SCRIPTWRITERS
Meghan Watt,DEVELOPMENT TEAM UBISOFT TORONTO,SCRIPTWRITERS
Jesse Knapp,DEVELOPMENT TEAM UBISOFT TORONTO,LEAD GAME DESIGNER
Douglas Gregory,DEVELOPMENT TEAM UBISOFT TORONTO,GAME DESIGN
Michael Surya,DEVELOPMENT TEAM UBISOFT TORONTO,GAME DESIGN
Olexiy Zhukov Malyeyev,DEVELOPMENT TEAM UBISOFT TORONTO,GAME DESIGN
Kelly Webber,DEVELOPMENT TEAM UBISOFT TORONTO,GAME DESIGN INTERN
Bryn Davies,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGN TECHNICAL DIRECTORS
Vladyslav Vlasyuk,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGN TECHNICAL DIRECTORS
Adam Beamish,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - MISSIONS
Adrian Rosca,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - MISSIONS
John Lethbridge,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - MISSIONS
Mike Mciver,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - ACT STRUCTURE
Tyler Hebenton,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - ACT STRUCTURE
Aaron Gordon,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - OPEN WORLD
Benjamin Aerssen,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - OPEN WORLD
Chris Conway,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - OPEN WORLD
Duncan Botwood,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - OPEN WORLD
Mathieu Chane Sha Lin,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - OPEN WORLD
Paul Dobson,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - OPEN WORLD
Will Howie,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL DESIGNERS - OPEN WORLD
Matthieu St-Pierre,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD PROGRAMMER - ENGINE
Christian Drouin Plante,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD PROGRAMMER - 3D
Jon Paul Schelter,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD PROGRAMMER - AI
Matthew Severin,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD PROGRAMMER - SYSTEMS
Michael Wasilewski,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD PROGRAMMER - GAMEPLAY
Shawn Carroll,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD PROGRAMMER - UI
Ruben Penalva Ambrona,DEVELOPMENT TEAM UBISOFT TORONTO,3D PROGRAMMERS
